DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,INDICATOR: Indicator,RANGE: Range,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_POP_COAST(2.0),A: Annual,2016,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2017,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2018,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2019,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2020,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2021,TV: Tuvalu,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A: Annual,2010,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,53772,N: units,,E: Estimated value,,Estimated mid-year population for year 2010.
SPC:DF_POP_COAST(2.0),A: Annual,2011,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,54159,N: units,,E: Estimated value,,Estimated mid-year population for year 2011.
SPC:DF_POP_COAST(2.0),A: Annual,2012,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,54507,N: units,,E: Estimated value,,Estimated mid-year population for year 2012.
SPC:DF_POP_COAST(2.0),A: Annual,2013,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,54840,N: units,,E: Estimated value,,Estimated mid-year population for year 2013.
SPC:DF_POP_COAST(2.0),A: Annual,2014,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,55142,N: units,,E: Estimated value,,Estimated mid-year population for year 2014.
SPC:DF_POP_COAST(2.0),A: Annual,2015,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,55422,N: units,,E: Estimated value,,Estimated mid-year population for year 2015.
SPC:DF_POP_COAST(2.0),A: Annual,2016,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,55687,N: units,,E: Estimated value,,Estimated mid-year population for year 2016.
SPC:DF_POP_COAST(2.0),A: Annual,2017,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,55940,N: units,,E: Estimated value,,Estimated mid-year population for year 2017.
SPC:DF_POP_COAST(2.0),A: Annual,2018,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,56178,N: units,,E: Estimated value,,Estimated mid-year population for year 2018.
SPC:DF_POP_COAST(2.0),A: Annual,2019,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,56397,N: units,,E: Estimated value,,Estimated mid-year population for year 2019.
SPC:DF_POP_COAST(2.0),A: Annual,2020,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,56608,N: units,,E: Estimated value,,Estimated mid-year population for year 2020.
SPC:DF_POP_COAST(2.0),A: Annual,2021,MP: Northern Mariana Islands,COASTALPOPAF: Coastal population in absolute frequency,_T: Total population,56801,N: units,,E: Estimated value,,Estimated mid-year population for year 2021.
SPC:DF_POP_COAST(2.0),A: Annual,2010,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,154985,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2011,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,156711,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2012,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,158395,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2013,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,160076,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2014,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,161738,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2015,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,163389,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2016,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,165040,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2017,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,166683,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2018,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,168312,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2019,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,169941,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2020,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,171541,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2021,GU: Guam,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,173135,N: units,,E: Estimated value,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2010,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2011,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2012,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2013,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2014,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2015,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2016,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2017,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2018,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2019,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2020,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2021,PW: Palau,COASTALPOPRF: Coastal population in relative frequency,10KM: 10km from coasts,100,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2010,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,143472,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2011,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,145987,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2012,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,148559,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2013,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,151074,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2014,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,153626,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2015,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,154219,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2016,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,154631,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2017,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,155014,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2018,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,155345,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2019,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,155640,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2020,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,156055,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2021,NC: New Caledonia,COASTALPOPAF: Coastal population in absolute frequency,1KM: 1km from coasts,156432,N: units,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2010,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2011,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2012,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2013,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2014,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2015,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2016,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2017,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2018,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2019,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2020,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2021,NC: New Caledonia,COASTALPOPRF: Coastal population in relative frequency,5KM: 5km from coasts,90,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A: Annual,2010,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,186088,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2011,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,187388,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2012,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,188787,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2013,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,190086,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2014,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,191385,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2015,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,192684,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2016,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,194066,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2017,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,195161,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2018,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,196261,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2019,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,197377,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2020,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,198527,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2021,WS: Samoa,COASTALPOPAF: Coastal population in absolute frequency,10KM: 10km from coasts,199733,N: units,,E: Estimated value,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2010,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,516525,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2011,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,529344,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2012,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,542266,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2013,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,555277,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2014,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,568403,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2015,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,581636,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2016,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,595006,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2017,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,608538,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2018,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,622262,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2019,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,636225,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2020,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,650477,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2021,SB: Solomon Islands,COASTALPOPAF: Coastal population in absolute frequency,5KM: 5km from coasts,665065,N: units,,E: Estimated value,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A: Annual,2010,MP: Northern Mariana Islands,COASTALPOPRF: Coastal population in relative frequency,1KM: 1km from coasts,69,PERCENT: percent,,E: Estimated value,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
